ബ്രിട്ടീഷുകാർ ഇന്ത്യയിൽ നടപ്പിലാക്കിയ ഭൂനികുതി വ്യവസ്ഥയുമായി ബന്ധപ്പെട്ട ശരിയായ പ്രസ്താവന ഏത്?|ബംഗാളിൽ നടപ്പിലാക്കിയ ഭൂനികുതി വ്യവസ്ഥയാണ് ശാശ്വത ഭൂനികുതി വ്യവസ്ഥ|ബംഗാളിൽ നടപ്പിലാക്കിയ ഭൂനികുതി വ്യവസ്ഥയാണ് റയട്ട് വാരി വ്യവസ്ഥ|വടക്കു പടിഞ്ഞാറൻ ഇന്ത്യയിൽ നടപ്പിലാക്കിയ ഭൂനികുതി വ്യവസ്ഥയാണ് റയട്ട് വാരി വ്യവസ്ഥ|ബംഗാളിൽ നടപ്പിലാക്കിയ ഭൂനികുതി വ്യവസ്ഥയാണ് മഹൽവാരി വ്യവസ്ഥ|1:explanation:<h3>social_8 page 15: ബ്രിട്ടീഷുകാർ നടപ്പിലാക്കിയ നികുതി നയങ്ങൾ</h3><table class="table table-bordered table-striped"><tr><th>നികുതി</th><th>നടപ്പിലാക്കിയ പ്രദേശങ്ങൾ</th><th>നടപ്പിലാക്കിയ വ്യക്തി</th><th> സവിശേഷതകൾ </th></tr>      <tr><td>ശാശ്വത ഭൂനികുതി വ്യവസ്ഥ(1793)</td><td>ബംഗാൾ<br> ബീഹാർ <br>ഒറീസ</td><td>കോൺവാലീസ് പ്രഭു</td><td><ul><li>ഭൂവുടമകളായിരുന്ന സെമീന്ദാർമാർ ബ്രിട്ടീഷുകാർക്ക് വേണ്ടി ഉയർന്ന നിരക്കിൽ നികുതി പിരിച്ചു</li><li>വിളവിലുള്ള ഏറ്റക്കുറച്ചിലുകൾ പരിഗണിക്കാതെ നിശ്ചിത തുക കർഷകർ നിർബന്ധമായും നികുതിയായി നൽകണമായിരുന്നു</li></ul></td></tr>      <tr><td>റയട്ട്വാരി സമ്പ്രദായം (1820) (Ryotwari System)</td><td>ദക്ഷിണേന്ത്യ <br>ഡക്കാൺ</td><td>തോമസ് മൺറോ<br> അലക്സാണ്ടർ റീഡ്</td><td><ul><li>കർഷകരെ ഭൂവുടമകളായി പരിഗണിച്ചു</li><li>ബ്രിട്ടീഷുകാർ കർഷകരിൽ നിന്ന് നേരിട്ട് നികുതി പിരിച്ചു</li><li>നികുതി നൽകുന്നതിൽ വീഴ്ചവരുത്തിയ കർഷകരുടെ ഭൂമി ബ്രിട്ടീഷുകാർ പിടിച്ചെടുത്തു</li></ul></td></tr>      <tr><td>മഹൽവാരി സമ്പ്രദായം (1822) (Mahalwari System)</td><td>ഉത്തരേന്ത്യ <br>മധ്യേന്ത്യ <br>പഞ്ചാബ്</td><td>ഹോൾട്ട് മക്കെൻസി</td><td><ul><li>ഗ്രാമത്തെ ഒരു യൂണിറ്റായി കണക്കാക്കി നികുതി പിരിച്ചു</li><li>നികുതിയിൽ വീഴ്ചവരുത്തുന്ന ഗ്രാമത്തെ ബ്രിട്ടീഷ് ഇന്ത്യയോട് കൂട്ടിച്ചേർത്തു</li></ul></td></tr>    </table>
ചോർച്ചാ സിദ്ധാന്തത്തിൻ്റെ ഉപജ്ഞാതാവാരാണ്?|ഗോപാലകൃഷ്ണ ഗോഖലെ|രമേഷ് ചന്ദ്രദത്ത്|ദാദാഭായ് നവറോജി|ബാലഗംഗാധര തിലകൻ|3:explanation:<p>social_8:page 28</p>'ഇന്ത്യയുടെ വന്ദ്യ വയോധികൻ'(Grand Old Man of India) എന്നറിയപ്പെടുന്ന ദാദാഭായ് നവറോജിയുടെ പുസ്തകമാണ് "പോവർട്ടി ആൻഡ് അൺബ്രിട്ടീഷ് റൂൾ ഇൻ ഇന്ത്യ? ബ്രിട്ടീഷുകാർ ഇന്ത്യയുടെ സമ്പത്ത് ചോർത്തി ക്കൊണ്ടുപോകുന്നുവെന്ന തന്റെ നിരീക്ഷണം (ചോർച്ചാ സിദ്ധാന്തം Drain Theory) അദ്ദേഹം ഈ പുസ്തകത്തിൽ അവതരിപ്പിച്ചു. ബ്രിട്ടീഷ് ഭരണത്തിന്റെ സാമ്പത്തിക പ്രത്യാഘാതങ്ങൾ ചർച്ചാ വിഷയമാക്കുന്നതിന്
ദത്താവകാശ നിരോധന നിയമം നടപ്പിലാക്കിയ ഗവർണർ ജനറൽ ആരാണ്?|കാനിംഗ് പ്രഭു|ഡൽഹൗസി പ്രഭു|വെല്ലസ്ലി പ്രഭു|കോൺവാലിസ് പ്രഭു|2:explanation:<p>social_8:page 23</p>
താഴെപ്പറയുന്നവയിൽ ശരിയായ പ്രസ്താവന ഏത്?|1857-ലെ വിപ്ലവത്തിൻ്റെ ലഖ്നൗവിലെ നേതാവായിരുന്നു നാനാസാഹിബ്|1857-ലെ വിപ്ലവത്തിൻ്റെ ലഖ്നൗവിലെ നേതാവായിരുന്നു ബഹദൂർഷാ രണ്ടാമൻ|1857-ലെ വിപ്ലവത്തിൻ്റെ ലഖ്നൗവിലെ നേതാവായിരുന്നു താന്തിയാതോപ്പി|1857-ലെ വിപ്ലവത്തിൻ്റെ ലഖ്നൗവിലെ നേതാവായിരുന്നു ഹസ്രത്ത് മഹൽ|4:explanation:<h3>social_8 page 25: 1857 ലെ കലാപം </h3>   <table class="table table-bordered">     <tr><th>കലാപം നടന്ന സ്ഥലം</th><th>കലാപത്തിന് നേതൃത്വം നൽകിയവർ</th><th> സവിശേഷതകൾ </th></tr>     <tr><td rowspan="2">ഡൽഹി</td><td>ബഹദൂർഷാ രണ്ടാമൻ</td><td><ul><li>കലാപകാരികൾ ഇന്ത്യയുടെ ചക്രവർത്തിയായി പ്രഖ്യാപിച്ചു</li><li>വിപ്ലവാനന്തരം ബ്രിട്ടീഷുകാർ റംഗൂണിലേക്ക് നാടുകടത്തി</li></ul></td></tr>    <tr><td>ജനറൽ ഭക്ത്ഖാൻ</td><td>ബഹദൂർഷാ II-ൻ്റെ സൈനിക ജനറൽ</td></tr>    <tr><td>ഝാൻസി</td><td>റാണി ലക്ഷ്മിഭായി</td><td>ഝാൻസിയിലെ ഭരണാധികാരി</td></tr>    <tr><td rowspan="2">കാൺപൂർ</td><td>നാനാ സാഹിബ്</td><td>മറാത്ത ഭരണാധികാരി</td></tr>       <tr><td>താന്തിയാ തോപ്പി</td><td><ul><li>നാനാ സാഹിബിൻ്റെ സൈനികത്തലവൻ</li><li>ഗറില്ല യുദ്ധമുറകൾ പ്രയോഗിച്ചു</li></ul></td></tr>      <tr><td>ലക്നൗ</td><td>ബീഗം ഹസ്രത്ത് മഹൽ</td><td>അവധിലെ ഭരണാധികാരി</td></tr>       <tr><td>ബീഹാറിലെ ആര</td><td>കൻവർസിംഗ്</td><td>ജഗദീഷ്പൂറിലെ കർഷകപ്രഭു</td></tr>     </table>
ഇന്ത്യയുടെ പതാകയായി ത്രിവർണ്ണപതാക അംഗീകരിച്ചത് ഏത് സമ്മേളനത്തിലാണ്|കറാച്ചി സമ്മേളനം|കൊൽക്കത്ത സമ്മേളനം|ബോംബെ സമ്മേളനം|ലാഹോർ സമ്മേളനം|4
ഇന്ത്യൻ ഭരണഘടനയുടെ ആമുഖം തയ്യാറാക്കിയതാരാണ്?|ജവഹർലാൽ നെഹ്റു|മഹാത്മാഗാന്ധി|രാജഗോപാലാചാരി|ഡോ. ബി.ആർ. അംബേദ്കർ|1
തെരഞ്ഞെടുക്കപ്പെടുന്ന രാഷ്ട്രത്തലവനുള്ള രാജ്യം ഏതു പേരിലറിയപ്പെടുന്നു?|ഫെഡറൽ|റിപ്പബ്ലിക്|ഡെമോക്രാറ്റിക്|സോഷ്യലിസ്റ്റ്|2
ക്ഷേമരാഷ്ട്ര സങ്കൽപ്പത്തെക്കുറിച്ച് ഇന്ത്യൻ ഭരണഘടനയിൽ എവിടെയാണ് പ്രതിപാദിച്ചിരിക്കുന്നത്? |മൗലികാവകാശങ്ങളിൽ|നിർദ്ദേശകതത്ത്വങ്ങളിൽ|ആമുഖത്തിൽ|മൗലിക കടമകളിൽ|2
ഇന്ത്യൻ ഭരണഘടനയുടെ മൗലികാവകാശങ്ങളുമായി ബന്ധപ്പെട്ട ശരിയായ പ്രസ്താവന ഏത്?|മൗലികാവകാശങ്ങൾ ഭാഗം I - ൽ ഉൾപ്പെടുത്തിയിരിക്കുന്നു|മൗലികാവകാശങ്ങൾ ഭാഗം II - ൽ ഉൾപ്പെടുത്തിയിരിക്കുന്നു|മൗലികാവകാശങ്ങൾ ഭാഗം III - ൽ ഉൾപ്പെടുത്തിയിരിക്കുന്നു|മൗലികാവകാശങ്ങൾ ഭാഗം IV - ൽ ഉൾപ്പെടുത്തിയിരിക്കുന്നു|3
ഇന്ത്യൻ ഭരണഘടനയുടെ അനുഛേദം 21A എന്തിനുള്ള അവകാശമാണ് ഉറപ്പ് നൽകുന്നത്?|ജോലി|സ്വകാര്യത|സമത്വം|വിദ്യാഭ്യാസം|4
മലബാറിലെ കർഷക കലാപങ്ങളെപ്പറ്റി പഠിക്കാൻ ബ്രിട്ടീഷുകാർ നിയമിച്ച കമ്മിഷൻ|വില്ല്യം ലോഗൻ കമ്മീഷൻ|ഹണ്ടർ കമ്മീഷൻ|സൈമൺ കമ്മിഷൻ|കപൂർ കമ്മീഷൻ|1
